Key,Type,Desc,English,Chinese (Simplified),Afrikaans,Amharic ,Arabic,Azerbaijani,Belarusian,Bulgarian [bg],Bangla [bn],Catalan,Czech,Danish,German [de-DE],Greek,Spanish (Spain),Spanish (United States) [es-US],Estonian,Basque [eu-ES],Persian,Finnish,French (Canada),French (France),Galician [gl-ES],Gujarati,Hebrew,Hindi,Croatian,Hungarian,Armenian,Indonesian,Icelandic,Italian [it-IT],Japanese,Georgian,Kazakh,Khmer,Kannada,Korean,Kyrgyz (Cyrillic) [ky],Lao,Lithuanian,Latvian,Macedonian (FYROM) [mk],Malayalam,Mongolian,Marathi,Malay,Malay (Malaysia),Burmese,Norwegian,Nepali,Dutch [nl-NL],Punjabi,Polish,Portuguese (Brazil),Portuguese (Portugal),Romanian,Russian,Sinhala,Slovak,Slovenian,Albanian,Serbian,Swedish [sv-SE],Swahili,Tamil,Telugu,Thai,Tagalog,Turkish,Ukrainian,Urdu,Vietnamese,Chinese (Hong Kong),Chinese (Traditional),Zulu
Code,Text,--,en,zh_CN,af,am,ar,az,be,bg,bn,ca,cs,da,de_DE,el,es_ES,es_US,et,eu_ES,fa,fi,fr_CA,fr_FR,gl_ES,gu,he,hi,hr,hu,hy,id,is,it_IT,ja,ka,kk,km,kn,ko,ky,lo,lt,lv,mk,ml,mn,mr,ms,ms_MY,my,nb,ne,nl_NL,pa,pl,pt_BR,pt_PT,ro,ru,si,sk,sl,sq,sr,sv_SE,sw,ta,te,th,tl,tr,uk,ur,vi,zh_HK,zh_TW,zu
S_LevelTips_Des_level_01,Text,,Enter this door to complete the stage !,进门就过关了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_02,Text,,Some doors may require a key !,有时需要用钥匙开锁！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_03,Text,,Find a way to reach higher !,找到通往更高处的方法！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_04,Text,,"Perhaps . . . 
Some courtesy is needed .","""也许……
需要一点礼数。""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_05,Text,,Play on a swing.,荡一下秋千。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_06,Text,,The password is . . .,密码是……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_07,Text,,Maybe the key is hidden in the box .,钥匙可能被藏在箱子里了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_08,Text,,Key might not be the only way .,钥匙可能并非唯一途径。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_09,Text,,One More Time !,再来一次！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_10,Text,,Failure is the mother of success .,失败是成功之母。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_11,Text,,"Whoa . . . 
The door flew away !",哇哦！门飞走了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_12,Text,,"Where is the 
""Stepping Stone"" ?","""「垫脚石」在哪儿？""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_13,Text,,Find the right way to go .,又得找到对的路,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_13_02,Text,,"OKay . 
This is the ""Right"" Way !",好，这就对了。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_14,Text,,Low Water Pressure .,水压过低。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_15,Text,,Follow the rules . . . again?,再次遵守规则？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_15_02,Text,,Way to the Finish .,通往终点的路。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_15_03,Text,,You're almost there !,你就要到了！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_16,Text,,"Perhaps . . . 
Try going under?",怎么才能游下去呢？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_17,Text,,It's time to run away !,快跑！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_18,Text,,Lockpicking Master .,开锁大师。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_19,Text,,Relative Motion .,相对运动。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S_LevelTips_Des_level_20,Text,,Is this a Dream?,这是梦境吗？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
